nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP1101,FR*SOD*S*GADP*1*10*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP1101,FR*SOD*E*GADP*1*10*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP122,FR*SOD*S*GADP*1*2*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP122,FR*SOD*E*GADP*1*2*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP112,FR*SOD*S*GADP*1*1*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP112,FR*SOD*E*GADP*1*1*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP172,FR*SOD*S*GADP*1*7*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP172,FR*SOD*E*GADP*1*7*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP192,FR*SOD*S*GADP*1*9*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP192,FR*SOD*E*GADP*1*9*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP171,FR*SOD*S*GADP*1*7*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP171,FR*SOD*E*GADP*1*7*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP162,FR*SOD*S*GADP*1*6*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP162,FR*SOD*E*GADP*1*6*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP181,FR*SOD*S*GADP*1*8*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP181,FR*SOD*E*GADP*1*8*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP122,FR*SOD*S*GADP*1*2*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP122,FR*SOD*E*GADP*1*2*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP161,FR*SOD*S*GADP*1*6*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP161,FR*SOD*E*GADP*1*6*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP172,FR*SOD*S*GADP*1*7*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP172,FR*SOD*E*GADP*1*7*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP182,FR*SOD*S*GADP*1*8*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP182,FR*SOD*E*GADP*1*8*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP142,FR*SOD*S*GADP*1*4*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP142,FR*SOD*E*GADP*1*4*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP151,FR*SOD*S*GADP*1*5*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP151,FR*SOD*E*GADP*1*5*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP131,FR*SOD*S*GADP*1*3*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP131,FR*SOD*E*GADP*1*3*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP132,FR*SOD*S*GADP*1*3*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP132,FR*SOD*E*GADP*1*3*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP161,FR*SOD*S*GADP*1*6*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP161,FR*SOD*E*GADP*1*6*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP111,FR*SOD*S*GADP*1*1*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP111,FR*SOD*E*GADP*1*1*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP141,FR*SOD*S*GADP*1*4*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP141,FR*SOD*E*GADP*1*4*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP1102,FR*SOD*S*GADP*1*10*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP1102,FR*SOD*E*GADP*1*10*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP112,FR*SOD*S*GADP*1*1*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP112,FR*SOD*E*GADP*1*1*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP162,FR*SOD*S*GADP*1*6*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP162,FR*SOD*E*GADP*1*6*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP1101,FR*SOD*S*GADP*1*10*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP1101,FR*SOD*E*GADP*1*10*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP131,FR*SOD*S*GADP*1*3*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP131,FR*SOD*E*GADP*1*3*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP141,FR*SOD*S*GADP*1*4*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP141,FR*SOD*E*GADP*1*4*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP171,FR*SOD*S*GADP*1*7*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP171,FR*SOD*E*GADP*1*7*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP121,FR*SOD*S*GADP*1*2*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP121,FR*SOD*E*GADP*1*2*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP191,FR*SOD*S*GADP*1*9*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP191,FR*SOD*E*GADP*1*9*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP121,FR*SOD*S*GADP*1*2*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP121,FR*SOD*E*GADP*1*2*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP192,FR*SOD*S*GADP*1*9*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP192,FR*SOD*E*GADP*1*9*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP191,FR*SOD*S*GADP*1*9*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP191,FR*SOD*E*GADP*1*9*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP152,FR*SOD*S*GADP*1*5*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP152,FR*SOD*E*GADP*1*5*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP152,FR*SOD*S*GADP*1*5*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP152,FR*SOD*E*GADP*1*5*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP132,FR*SOD*S*GADP*1*3*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP132,FR*SOD*E*GADP*1*3*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP252,FR*SOD*S*GADP*2*5*_*_,CDGP - PEF,Voirie,Aeroport Charles de Gaulle 77990 Le Mesnil-Amelot,77990,"[49.004440,2.576883]",32,FROTHEGADP252,FR*SOD*E*GADP*2*5*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2018-01-23,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
